-107 119.7 -257.46,-76.02 123.8 -251.9,-47.56 123.8 -251.3,-17.06 124.58 -247.36,-17.06 124.58 -247.36,42.92 114.8 -249.18,69.72 112.76 -251.16,97.36 111.6 -256.5
-105.32 75.46 -259.58,-80.12 82.78 -258.98,-52.16 77.92 -252.76,-19.96 77.92 -248.5,8.22 77.92 -248.3,39.18 77.92 -251.72,69.1 78.32 -253.92,97.16 81.5 -255.1
-109.44 42.16 -262.3,-82.78 47.3 -264.16,-52.76 40.2 -253.96,-19.34 44.26 -250.34,11.14 44.26 -249.42,39.78 44.26 -250.6,66.7 43.04 -254.4,93.88 43.04 -254.78
-117.02 7.28 -258.88,-86.1 10.3 -259.4,-53.82 12.16 -254.8,-23.02 12.62 -250.84,8.54 14.02 -246.26,39.84 14.02 -250.66,68.34 13.3 -253.5,97.5 12.86 -259.08
-113.7 -19.06 -263.96,-85.64 -20.82 -255.76,-51.14 -17.62 -254.2,-20.62 -16.44 -246.42,9.92 -16.44 -247.22,38.78 -17.52 -248.7,67.12 -15.74 -255.04,100.08 -17.16 -251.94
-117.82 -49.42 -255.92,-87.28 -50.52 -254.2,-56.9 -49.86 -252.34,-25.78 -46.96 -250.72,9.74 -45.96 -244.56,38.04 -45.36 -249.6,66.42 -49.96 -250.98,99.16 -46.66 -256.92
-113.24 -80.58 -255.88,-83.52 -81.36 -252.24,-53.58 -80.78 -249.74,-24.82 -79.52 -245.04,10.64 -77.26 -244.22,40.74 -76.26 -245.22,74.64 -75.32 -250.34,100.96 -74.12 -249.2
-118.18 -109.04 -250.44,-88.54 -109.78 -249.56,-58.3 -109.78 -249.14,-25.86 -108.72 -244.88,4.02 -107.24 -243.4,37.2 -105.54 -247.96,68.32 -103.02 -248.18,103.7 -101.56 -249.62
